Fecha,Bosque,ronda,SP,X,Y,planta,flores etiquetadas,frutos recogidos,abortos,comentarios,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,3,6,,4,3,1,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,3,9,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,4,4,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,4,9,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,6,4,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,6,7,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,6,10,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,7,2,,5,5,0,,
18.03.2021,Pinar Aznalcazar,2,Cistus salviifolius,9,3,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,3,6,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,3,8,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,3,9,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,4,9,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,6,1,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,6,3,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,6,4,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,6,7,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,8,3,,5,5,0,,
25.03.2021,Pinar Aznalcazar,3,Cistus salviifolius,8,10,,5,5,0,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,2,7,,5,5,0,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,3,8,,5,5,0,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,4,10,,5,4,1,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,6,1,,5,5,0,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,6,4,,5,2,3,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,6,7,,5,3,2,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,6,10,,5,4,1,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,8,3,,5,4,1,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,8,10,,5,3,2,,
07.04.2021,Pinar Aznalcazar,4,Cistus salviifolius,9,3,,5,5,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,1,1,1,2,2,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,1,1,2,4,4,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,1,2,,4,4,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,1,9,,5,2,3,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,2,6,,5,5,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,4,7,,6,3,3,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,5,7,,3,3,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,6,2,,2,2,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,6,7,,4,4,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,7,3,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,7,6,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,7,7,,1,0,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,8,6,,2,1,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,8,7,,3,3,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,8,8,,6,4,2,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,9,2,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus crispus,9,6,,2,2,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,1,7,,5,1,4,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,1,10,,1,0,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,2,7,,2,2,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,3,6,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,3,7,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,3,8,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,3,9,,2,2,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,4,9,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,6,3,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,6,4,,4,0,4,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,6,7,,1,0,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,6,10,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,8,3,,1,1,0,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,8,10,,1,0,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,9,3,,2,1,1,,
19.04.2021,Pinar Aznalcazar,5,Cistus salviifolius,10,10,,6,6,0,,
19.04.2021,Pinar Aznalcazar,5,Halimiun halimifolium,10,8,1,3,2,1,,
19.04.2021,Pinar Aznalcazar,5,Halimiun halimifolium,10,8,2,6,1,5,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,1,1,1,2,1,1,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,1,1,2,5,3,2,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,1,2,,5,5,0,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,1,8,,5,5,0,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,2,1,,5,3,2,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,2,6,,5,5,0,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,4,7,,5,5,0,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,6,2,,5,2,3,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,7,3,,5,3,2,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,9,7,,1,1,0,,
28.04.2021,Pinar Aznalcazar,6,Cistus crispus,9,8,,4,3,1,,
28.04.2021,Pinar Aznalcazar,6,Halimiun halimifolium,9,6,,2,0,2,,
28.04.2021,Pinar Aznalcazar,6,Halimiun halimifolium,10,8,1,20,14,6,,
28.04.2021,Pinar Aznalcazar,6,Halimiun halimifolium,10,8,2,15,7,8,,
28.04.2021,Pinar Aznalcazar,6,Halimiun halimifolium,10,9,,4,2,2,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,1,1,2,5,5,0,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,1,2,,5,4,1,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,1,3,,5,5,0,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,2,1,,5,5,0,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,2,3,,5,5,0,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,2,6,,5,5,0,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,4,7,,5,3,2,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,7,3,,5,3,2,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,9,2,,5,2,3,,
07.05.2021,Pinar Aznalcazar,7,Cistus crispus,9,7,,5,4,1,,
07.05.2021,Pinar Aznalcazar,7,Halimiun halimifolium,8,10,,10,10,0,,
07.05.2021,Pinar Aznalcazar,7,Halimiun halimifolium,9,6,,10,6,4,,
07.05.2021,Pinar Aznalcazar,7,Halimiun halimifolium,10,8,1,10,6,4,,
07.05.2021,Pinar Aznalcazar,7,Halimiun halimifolium,10,8,2,10,6,4,,
07.05.2021,Pinar Aznalcazar,7,Halimiun halimifolium,10,9,,10,6,4,,
19.05.2021,Pinar Aznalcazar,8,Cistus crispus,9,7,,2,2,0,,
19.05.2021,Pinar Aznalcazar,8,Halimiun halimifolium,8,10,,10,4,6,,
19.05.2021,Pinar Aznalcazar,8,Halimiun halimifolium,9,6,,10,3,7,,
19.05.2021,Pinar Aznalcazar,8,Halimiun halimifolium,10,8,1,10,2,8,,
19.05.2021,Pinar Aznalcazar,8,Halimiun halimifolium,10,8,2,10,2,8,,
19.05.2021,Pinar Aznalcazar,8,Halimiun halimifolium,10,9,,10,3,7,,
02.03.2021,Pinar Hinojos,1,Halimiun calycinum,1,1,2,5,5,0,,
02.03.2021,Pinar Hinojos,1,Halimiun calycinum,4,5,,5,3,2,,
02.03.2021,Pinar Hinojos,1,Halimiun calycinum,5,4,,3,3,0,,
02.03.2021,Pinar Hinojos,1,Halimiun calycinum,8,1,,5,4,1,,
02.03.2021,Pinar Hinojos,1,Halimiun calycinum,8,4,,5,4,1,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,2,1,,5,4,1,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,3,6,,3,1,2,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,4,5,,5,2,3,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,5,4,,2,2,0,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,8,1,,5,3,2,,
11.03.2021,Pinar Hinojos,2,Halimiun calycinum,8,4,,5,4,1,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,1,5,3,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,2,3,1,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,1,1,3,3,3,0,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,2,1,,5,2,3,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,4,5,,10,3,7,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,5,4,,4,4,0,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,8,1,,9,7,2,,
19.03.2021,Pinar Hinojos,3,Halimiun calycinum,8,4,,9,6,3,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,1,1,0,1,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,2,3,0,3,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,1,1,3,6,4,2,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,2,1,,9,0,9,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,3,6,,1,1,0,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,4,5,,9,4,5,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,5,4,,3,1,2,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,8,1,,9,4,5,,
31.03.2021,Pinar Hinojos,4,Halimiun calycinum,8,4,,9,5,4,,
09.04.2021,Pinar Hinojos,5,Cistus libanotis,4,8,,1,1,0,,
09.04.2021,Pinar Hinojos,5,Cistus libanotis,10,7,,7,7,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,1,1,2,1,1,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,1,1,3,1,0,1,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,2,1,,3,1,2,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,4,5,,5,2,3,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,5,4,,2,2,0,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,8,1,,8,7,1,,
09.04.2021,Pinar Hinojos,5,Halimiun calycinum,8,4,,7,6,1,,
21.04.2021,Pinar Hinojos,6,Cistus libanotis,4,8,,11,5,6,,
21.04.2021,Pinar Hinojos,6,Cistus libanotis,10,7,,43,20,23,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,1,1,2,1,1,0,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,1,1,3,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,2,1,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,3,6,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,4,5,,8,4,4,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,5,4,,1,0,1,,
21.04.2021,Pinar Hinojos,6,Halimiun calycinum,8,4,,2,0,2,,
21.04.2021,Pinar Hinojos,7,Cistus libanotis,4,8,,1,1,0,,
21.04.2021,Pinar Hinojos,7,Cistus libanotis,10,7,,4,0,4,,
12.05.2021,Pinar Hinojos,8,NA,,,,,,,Ronda 8 no hay Cistáceas en el cuadro,
24.05.2021,Pinar Hinojos,9,NA,,,,,,,Ronda 9 no hay Cistáceas en el cuadro,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,3,6,,5,4,1,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,6,2,,5,5,0,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,7,7,,5,4,1,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,9,4,,5,5,0,,
10.03.2021,Pinar Puebla,1,Cistus salviifolius,9,10,1,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,2,4,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,3,6,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,3,10,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,1,1,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,1,2,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,6,2,,5,3,2,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,7,7,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,2,,5,4,1,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,4,,5,5,0,,
17.03.2021,Pinar Puebla,2,Cistus salviifolius,9,10,2,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,2,10,,5,3,2,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,3,6,,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,3,10,,5,3,2,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,1,1,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,1,2,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,6,2,,5,4,1,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,7,1,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,7,7,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,9,4,,5,5,0,,
26.03.2021,Pinar Puebla,3,Cistus salviifolius,9,10,2,5,4,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,1,2,,7,2,5,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,1,7,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,2,10,,3,3,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,3,6,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,4,2,,1,0,1,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,4,6,,4,2,2,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,5,1,,2,2,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,5,7,,2,2,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,6,1,1,1,1,0,,
08.04.2021,Pinar Puebla,4,Cistus salviifolius,9,2,,1,0,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,2,10,,2,1,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,3,4,,1,0,1,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,6,1,2,1,1,0,,
20.04.2021,Pinar Puebla,5,Cistus salviifolius,9,4,,1,0,1,,
30.04.2021,Pinar Puebla,6,Cistus crispus,8,6,,2,2,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,8,7,,1,1,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,9,6,,4,3,1,,
30.04.2021,Pinar Puebla,6,Cistus crispus,9,7,,2,2,0,,
30.04.2021,Pinar Puebla,6,Cistus crispus,10,7,,4,4,0,,
11.05.2021,Pinar Puebla,7,Cistus crispus,8,6,,3,1,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,8,7,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,9,6,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,9,7,,2,0,2,,
11.05.2021,Pinar Puebla,7,Cistus crispus,10,6,,1,1,0,,
18.05.2021,Pinar Puebla,8,Cistus crispus,8,7,,2,0,2,,
18.05.2021,Pinar Puebla,8,Cistus crispus,9,6,,2,1,1,,
18.05.2021,Pinar Puebla,8,Cistus crispus,9,7,,2,1,1,,
18.05.2021,Pinar Puebla,8,Cistus crispus,10,6,,1,1,0,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,3,9,,5,0,5,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,5,10,1,5,1,4,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,5,10,2,5,2,3,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,10,2,,5,0,5,,
13.03.2021,Pinar Villamanrique Este,2,Cistus ladanifer,10,6,,3,0,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,3,9,,5,3,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,4,5,,5,5,0,,
