Fecha,Bosque,ronda,SP,X,Y,planta,flores etiquetadas,frutos recogidos,abortos,comentarios,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,4,10,,4,2,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,7,9,,5,1,4,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,8,3,,4,3,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,2,,5,2,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,6,,5,1,4,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,8,,5,3,2,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,9,,5,0,5,,
23.03.2021,Pinar Villamanrique Este,3,Cistus ladanifer,10,10,2,5,0,5,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,6,6,1,5,5,0,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,6,8,,5,4,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,7,8,2,3,0,3,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,7,9,,5,4,1,,
23.03.2021,Pinar Villamanrique Este,3,Cistus salviifolius,9,6,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,4,5,,2,1,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,5,1,,2,1,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,5,2,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,6,5,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,7,9,,20,15,5,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,7,10,,1,1,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,10,8,,2,0,2,,
05.04.2021,Pinar Villamanrique Este,4,Cistus ladanifer,10,9,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,1,8,1,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,1,10,,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,2,1,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,3,2,1,5,5,0,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,3,8,,5,1,4,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,4,2,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,6,6,1,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,7,9,,5,4,1,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,8,3,2,5,2,3,,
05.04.2021,Pinar Villamanrique Este,4,Cistus salviifolius,9,6,,5,4,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,3,1,1,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,4,5,,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,5,4,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,1,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,4,,3,2,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,5,,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus crispus,6,6,,1,0,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,1,1,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,1,8,1,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,2,6,1,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,3,7,,5,4,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,4,2,,5,4,1,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,5,4,,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,6,6,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,7,8,2,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,7,9,,5,5,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,8,3,1,1,1,0,,
12.04.2021,Pinar Villamanrique Este,5,Cistus salviifolius,8,3,2,4,4,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,1,2,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,1,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,2,5,,5,1,4,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,4,7,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,5,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,5,5,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,6,4,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,7,1,2,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus crispus,9,5,,5,1,4,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,1,8,1,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,2,6,1,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,3,8,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,3,10,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,4,2,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,4,9,,5,4,1,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,5,6,,5,5,0,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,5,9,,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,7,8,2,5,3,2,,
22.04.2021,Pinar Villamanrique Este,6,Cistus salviifolius,8,3,1,5,2,3,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,3,2,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,4,,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,1,7,,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,3,1,5,4,1,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,3,2,5,5,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,2,5,,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,5,4,,5,4,1,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,6,4,,5,3,2,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,7,1,2,6,6,0,,
04.05.2021,Pinar Villamanrique Este,7,Cistus crispus,9,5,             ,6,6,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,2,,5,0,5,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,3,1,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,4,,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,1,7,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,2,5,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,4,7,,5,3,2,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,5,4,,5,5,0,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,5,5,,5,2,3,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,6,4,,5,4,1,,
13.05.2021,Pinar Villamanrique Este,8,Cistus crispus,7,1,2,5,5,0,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,1,7,,1,0,1,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,3,1,1,1,1,0,,
25.05.2021,Pinar Villamanrique Este,9,Cistus crispus,5,5,,1,0,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,1,6,1,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,2,3,,5,4,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,2,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,7,,4,4,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,3,10,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,4,3,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,4,9,,5,5,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,5,8,1,2,2,0,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,7,9,,5,4,1,,
15.03.2021,Pinar Villamanrique Sur,2,Cistus salviifolius,9,10,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,2,1,5,0,5,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,3,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,1,6,2,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,2,3,,5,4,1,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,3,7,,5,4,1,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,3,10,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,5,2,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,6,3,1,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,8,3,,5,5,0,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,9,7,,5,4,1,,
22.03.2021,Pinar Villamanrique Sur,3,Cistus salviifolius,9,8,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,3,10,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,4,9,,5,4,1,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,5,1,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,6,3,1,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,7,9,,5,4,1,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,8,3,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,8,5,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,9,2,,5,4,1,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,9,7,,5,5,0,,
06.04.2021,Pinar Villamanrique Sur,4,Cistus salviifolius,9,8,,5,4,1,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus crispus,8,8,1,2,1,1,"en los sobre está como 7,8 pero es el (8,8)1",
13.04.2021,Pinar Villamanrique Sur,5,Cistus crispus,7,9,,2,2,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus crispus,9,7,,1,1,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,1,1,2,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,1,6,1,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,3,4,,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,4,9,,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,5,8,1,5,4,1,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,5,8,2,5,4,1,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,8,2,,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,9,2,,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,9,7,,5,3,2,,
13.04.2021,Pinar Villamanrique Sur,5,Cistus salviifolius,9,8,,5,5,0,,
13.04.2021,Pinar Villamanrique Sur,5,Halimiun halimifolium,1,9,,10,8,2,,
13.04.2021,Pinar Villamanrique Sur,5,Halimiun halimifolium,3,1,1,1,0,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,5,4,,5,5,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,6,6,,5,4,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,7,10,,5,4,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,8,1,5,5,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,8,3,5,5,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,8,4,5,5,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,9,,5,4,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,10,1,5,4,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,8,10,2,5,4,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus crispus,9,7,,5,5,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,1,10,,1,1,0,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,2,9,,1,0,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,2,10,,2,1,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,8,2,,15,14,1,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,9,7,,5,3,2,,
23.04.2021,Pinar Villamanrique Sur,6,Cistus salviifolius,9,10,,3,3,0,,
23.04.2021,Pinar Villamanrique Sur,6,Halimiun halimifolium,1,9,,20,8,12,,
23.04.2021,Pinar Villamanrique Sur,6,Halimiun halimifolium,3,1,1,10,4,6,,
23.04.2021,Pinar Villamanrique Sur,6,Halimiun halimifolium,3,1,2,10,0,10,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,3,6,1,5,4,1,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,3,6,2,5,4,1,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,5,4,,5,5,0,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,6,6,,5,5,0,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,8,8,3,5,5,0,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,8,8,4,5,4,1,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,8,9,,5,4,1,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,8,10,1,5,3,2,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,8,10,2,5,1,4,,
06.05.2021,Pinar Villamanrique Sur,7,Cistus crispus,9,7,,5,5,0,,
06.05.2021,Pinar Villamanrique Sur,7,Halimiun halimifolium,1,9,,10,1,9,,
06.05.2021,Pinar Villamanrique Sur,7,Halimiun halimifolium,3,1,1,10,1,9,,
06.05.2021,Pinar Villamanrique Sur,7,Halimiun halimifolium,3,1,2,10,0,10,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,3,5,2,1,0,1,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,4,6,3,1,0,1,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,5,4,,14,7,7,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,6,6,,10,2,8,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,8,8,2,1,0,1,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,8,8,4,2,0,2,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,9,2,,5,4,1,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,9,7,,2,2,0,,
14.05.2021,Pinar Villamanrique Sur,8,Cistus crispus,10,8,,3,0,3,,
14.05.2021,Pinar Villamanrique Sur,8,Halimiun halimifolium,1,9,,10,0,10,,
14.05.2021,Pinar Villamanrique Sur,8,Halimiun halimifolium,3,1,1,10,0,10,,
14.05.2021,Pinar Villamanrique Sur,8,Halimiun halimifolium,3,1,2,10,0,10,,
26.05.2021,Pinar Villamanrique Sur,9,Cistus crispus,5,4,,2,0,2,,
26.05.2021,Pinar Villamanrique Sur,9,Cistus crispus,6,6,,2,1,1,,
26.05.2021,Pinar Villamanrique Sur,9,Cistus crispus,9,2,,2,2,0,,
26.05.2021,Pinar Villamanrique Sur,9,Halimiun halimifolium,1,9,,5,0,5,,
26.05.2021,Pinar Villamanrique Sur,9,Halimiun halimifolium,3,1,2,3,0,3,,