Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,Year,Flores,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,April,13,10,0.7692307692307693,22,8,0,2021,2,0.9999899234585236,2,2,23,10,NA,2
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,April,13,10,0.7692307692307693,22,8,0,2021,4,0.9999899234585236,2,2,23,10,NA,2
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,April,13,10,0.7692307692307693,22,8,0,2021,11,0.9999899234585236,2,2,23,10,NA,2
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,May,5,5,1,9,9,12,2021,3,0.9999962392419223,1,2,38,2,NA,1
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,May,5,5,1,9,9,12,2021,19,0.9999962392419223,1,2,38,2,NA,1
Pinar Aznalcazar,1,1,Cistus_crispus,1-1 Cistus_crispus,May,5,5,1,9,9,12,2021,1,0.9999962392419223,1,2,38,2,NA,1
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,April,9,9,1,6,8,0,2021,4,0.999995493935569,1,2,12,3,NA,1
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,April,9,9,1,6,8,0,2021,7,0.999995493935569,1,2,12,3,NA,1
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,4,0.8,33,15,12,2021,5,0.9999973351049557,2,2,9,11,1,2
Pinar Aznalcazar,1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,4,0.8,33,15,12,2021,1,0.9999973351049557,2,2,9,11,1,2
Pinar Aznalcazar,1,3,Cistus_crispus,1-3 Cistus_crispus,May,5,5,1,12,12,12,2021,10,0.9999974155990898,2,2,23,3,1,2
Pinar Aznalcazar,1,3,Cistus_crispus,1-3 Cistus_crispus,May,5,5,1,12,12,12,2021,3,0.9999974155990898,2,2,23,3,1,2
Pinar Aznalcazar,1,7,Cistus_salviifolius,1-7 Cistus_salviifolius,April,5,1,0.2,2,0,12,2021,15,0.9999880939606003,1,2,21,1,1,1
Pinar Aznalcazar,1,7,Cistus_salviifolius,1-7 Cistus_salviifolius,April,5,1,0.2,2,0,12,2021,5,0.9999880939606003,1,2,21,1,1,1
Pinar Aznalcazar,1,8,Cistus_crispus,1-8 Cistus_crispus,April,5,5,1,NA,NA,NA,2021,2,0.9999985381995582,NA,1,2,NA,NA,NA
Pinar Aznalcazar,1,9,Cistus_crispus,1-9 Cistus_crispus,April,5,2,0.4,12,22,4,2021,5,0.9999972464153442,2,1,11,6,1,3
Pinar Aznalcazar,1,9,Cistus_crispus,1-9 Cistus_crispus,April,5,2,0.4,12,22,4,2021,6,0.9999972464153442,2,1,11,6,1,3
Pinar Aznalcazar,1,10,Cistus_salviifolius,1-10 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,2,0.9999972765607098,NA,2,1223,NA,NA,NA
Pinar Aznalcazar,1,10,Cistus_salviifolius,1-10 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.9999972765607098,NA,2,1223,NA,NA,NA
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,April,5,3,0.6,NA,NA,NA,2021,6,0.9999986488168572,NA,1,6,NA,NA,NA
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,May,5,5,1,21,9,15,2021,NA,0.9999973480875018,2,2,59,7,NA,2
Pinar Aznalcazar,2,1,Cistus_crispus,2-1 Cistus_crispus,May,5,5,1,21,9,15,2021,3,0.9999973480875018,2,2,59,7,NA,2
Pinar Aznalcazar,2,3,Cistus_crispus,2-3 Cistus_crispus,May,5,5,1,60,18,21,2021,31,0.9999974766918334,4,2,41,19,5,4
Pinar Aznalcazar,2,3,Cistus_crispus,2-3 Cistus_crispus,May,5,5,1,60,18,21,2021,3,0.9999974766918334,4,2,41,19,5,4
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,April,10,10,1,14,20,0,2021,5,0.9999972989809978,2,1,24,6,NA,3
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,April,10,10,1,14,20,0,2021,19,0.9999972989809978,2,1,24,6,NA,3
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,May,5,5,1,24,27,0,2021,19,0.9999975991373389,2,1,20,7,NA,2
Pinar Aznalcazar,2,6,Cistus_crispus,2-6 Cistus_crispus,May,5,5,1,24,27,0,2021,1,0.9999975991373389,2,1,20,7,NA,2
Pinar Aznalcazar,2,7,Cistus_salviifolius,2-7 Cistus_salviifolius,April,7,7,1,NA,NA,NA,2021,9,0.999997799179978,NA,1,11,NA,NA,NA
Pinar Aznalcazar,2,7,Cistus_salviifolius,2-7 Cistus_salviifolius,April,7,7,1,NA,NA,NA,2021,2,0.999997799179978,NA,1,11,NA,NA,NA
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,9,8,0.8888888888888888,55,34,0,2021,1,0.9999973403412207,3,1,20,16,NA,3
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,9,8,0.8888888888888888,55,34,0,2021,4,0.9999973403412207,3,1,20,16,NA,3
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,9,8,0.8888888888888888,55,34,0,2021,15,0.9999973403412207,3,1,20,16,NA,3
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,3,0.9999947209805231,NA,2,5,NA,NA,NA
Pinar Aznalcazar,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,1,0.9999947209805231,NA,2,5,NA,NA,NA
Pinar Aznalcazar,3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,April,1,1,1,15,0,0,2021,7,0.9999782902365184,1,2,9,2,NA,1
Pinar Aznalcazar,3,7,Cistus_salviifolius,3-7 Cistus_salviifolius,April,1,1,1,15,0,0,2021,1,0.9999782902365184,1,2,9,2,NA,1
Pinar Aznalcazar,3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,March,5,5,1,36,27,0,2021,1,0.9999980740162603,3,1,8,11,NA,3
Pinar Aznalcazar,3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,March,5,5,1,36,27,0,2021,7,0.9999980740162603,3,1,8,11,NA,3
Pinar Aznalcazar,3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,9,0.9999976892757628,NA,1,10,NA,NA,NA
Pinar Aznalcazar,3,8,Cistus_salviifolius,3-8 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,1,0.9999976892757628,NA,1,10,NA,NA,NA
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,March,10,10,1,90,15,12,2021,1,0.9999971908711959,2,1,25,26,NA,3
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,March,10,10,1,90,15,12,2021,9,0.9999971908711959,2,1,25,26,NA,3
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,March,10,10,1,90,15,12,2021,15,0.9999971908711959,2,1,25,26,NA,3
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,April,2,2,1,NA,NA,NA,2021,12,0.9999976460079955,NA,1,14,NA,NA,NA
Pinar Aznalcazar,3,9,Cistus_salviifolius,3-9 Cistus_salviifolius,April,2,2,1,NA,NA,NA,2021,2,0.9999976460079955,NA,1,14,NA,NA,NA
Pinar Aznalcazar,4,4,Cistus_salviifolius,4-4 Cistus_salviifolius,March,5,5,1,91,79,0,2021,7,0.9999991228638658,6,1,7,22,NA,9
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,April,11,8,0.7272727272727273,210,95,12,2021,3,0.9999972990082808,7,1,55,93,1,16
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,April,11,8,0.7272727272727273,210,95,12,2021,52,0.9999972990082808,7,1,55,93,1,16
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,May,5,3,0.6,45,33,12,2021,44,0.999997526617981,2,1,48,15,1,4
Pinar Aznalcazar,4,7,Cistus_crispus,4-7 Cistus_crispus,May,5,3,0.6,45,33,12,2021,4,0.999997526617981,2,1,48,15,1,4
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,March,10,10,1,44,31,0,2021,1,0.9999971908408399,4,1,29,12,NA,4
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,March,10,10,1,44,31,0,2021,7,0.9999971908408399,4,1,29,12,NA,4
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,March,10,10,1,44,31,0,2021,21,0.9999971908408399,4,1,29,12,NA,4
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,13,0.9999977116401627,NA,1,14,NA,NA,NA
Pinar Aznalcazar,4,9,Cistus_salviifolius,4-9 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,1,0.9999977116401627,NA,1,14,NA,NA,NA
Pinar Aznalcazar,4,10,Cistus_salviifolius,4-10 Cistus_salviifolius,April,5,4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,5,7,Cistus_crispus,5-7 Cistus_crispus,April,3,3,1,190,112,10,2021,3,0.9999858108263214,7,2,10,76,NA,18
Pinar Aznalcazar,5,7,Cistus_crispus,5-7 Cistus_crispus,April,3,3,1,190,112,10,2021,6,0.9999858108263214,7,2,10,76,NA,18
Pinar Aznalcazar,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,5,5,1,9,18,0,2021,5,0.9999990988477351,2,1,5,3,NA,2
Pinar Aznalcazar,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,April,5,5,1,15,20,5,2021,16,0.9999984655747105,1,2,20,3,NA,1
Pinar Aznalcazar,6,2,Cistus_crispus,6-2 Cistus_crispus,April,7,4,0.5714285714285714,2,14,0,2021,2,0.9999941684774997,1,2,19,1,NA,1
Pinar Aznalcazar,6,2,Cistus_crispus,6-2 Cistus_crispus,April,7,4,0.5714285714285714,2,14,0,2021,5,0.9999941684774997,1,2,19,1,NA,1
Pinar Aznalcazar,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,March,5,5,1,19,35,0,2021,2,0.9999981055905209,3,1,7,6,NA,3
Pinar Aznalcazar,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,March,5,5,1,19,35,0,2021,5,0.9999981055905209,3,1,7,6,NA,3
Pinar Aznalcazar,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,17,0.9999977358927056,NA,1,18,NA,NA,NA
Pinar Aznalcazar,6,3,Cistus_salviifolius,6-3 Cistus_salviifolius,April,1,1,1,NA,NA,NA,2021,1,0.9999977358927056,NA,1,18,NA,NA,NA
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,March,10,10,1,209,75,0,2021,2,0.9999972381700037,7,1,61,60,NA,8
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,March,10,10,1,209,75,0,2021,16,0.9999972381700037,7,1,61,60,NA,8
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,March,10,10,1,209,75,0,2021,43,0.9999972381700037,7,1,61,60,NA,8
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,April,9,2,0.2222222222222222,NA,NA,NA,2021,66,0.9999977298528373,NA,1,70,NA,NA,NA
Pinar Aznalcazar,6,4,Cistus_salviifolius,6-4 Cistus_salviifolius,April,9,2,0.2222222222222222,NA,NA,NA,2021,4,0.9999977298528373,NA,1,70,NA,NA,NA
Pinar Aznalcazar,6,7,Cistus_crispus,6-7 Cistus_crispus,April,4,4,1,38,54,6,2021,4,0.9999962545758775,5,2,14,15,NA,7
Pinar Aznalcazar,6,7,Cistus_crispus,6-7 Cistus_crispus,April,4,4,1,38,54,6,2021,3,0.9999962545758775,5,2,14,15,NA,7
Pinar Aznalcazar,6,7,Cistus_salviifolius,6-7 Cistus_salviifolius,March,10,10,1,19,17,0,2021,6,0.9999982605865877,3,1,20,5,NA,3
Pinar Aznalcazar,6,7,Cistus_salviifolius,6-7 Cistus_salviifolius,March,10,10,1,19,17,0,2021,14,0.9999982605865877,3,1,20,5,NA,3
Pinar Aznalcazar,6,7,Cistus_salviifolius,6-7 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,6,0.9999977510384254,NA,2,14,NA,NA,NA
Pinar Aznalcazar,6,7,Cistus_salviifolius,6-7 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,1,0.9999977510384254,NA,2,14,NA,NA,NA
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,March,5,5,1,16,23,0,2021,10,0.9999991226216554,3,1,10,4,NA,2
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,April,6,5,0.8333333333333334,NA,NA,NA,2021,34,0.9999978213248842,NA,1,35,NA,NA,NA
Pinar Aznalcazar,6,10,Cistus_salviifolius,6-10 Cistus_salviifolius,April,6,5,0.8333333333333334,NA,NA,NA,2021,1,0.9999978213248842,NA,1,35,NA,NA,NA
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,1,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,7,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,2,Cistus_salviifolius,7-2 Cistus_salviifolius,March,5,5,1,48,47,0,2021,8,0.9999973361580913,4,1,16,12,NA,6
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,2021,1,0.9999972999810277,1,1,14,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,April,6,4,0.6666666666666666,2,14,0,2021,13,0.9999972999810277,1,1,14,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,2021,9,0.999997614390147,1,1,13,1,NA,1
Pinar Aznalcazar,7,3,Cistus_crispus,7-3 Cistus_crispus,May,5,3,0.6,3,15,0,2021,4,0.999997614390147,1,1,13,1,NA,1
Pinar Aznalcazar,7,6,Cistus_crispus,7-6 Cistus_crispus,April,1,1,1,15,46,10,NA,NA,NA,3,1,2,7,NA,5
Pinar Aznalcazar,7,7,Cistus_crispus,7-7 Cistus_crispus,April,1,0,0,12,29,10,NA,NA,NA,3,NA,NA,4,NA,4
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,1,28,16,0,2021,8,0.9999981022695879,2,1,23,6,NA,3
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,March,5,5,1,28,16,0,2021,15,0.9999981022695879,2,1,23,6,NA,3
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,2021,18,0.9999977313185504,2,1,19,18,NA,2
Pinar Aznalcazar,8,3,Cistus_salviifolius,8-3 Cistus_salviifolius,April,6,5,0.8333333333333334,90,25,5,2021,1,0.9999977313185504,2,1,19,18,NA,2
Pinar Aznalcazar,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,1,0.5,21,39,4,NA,NA,NA,2,NA,NA,8,NA,5
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,1,110,67,10,2021,18,0.9999973023722962,3,1,59,40,NA,8
Pinar Aznalcazar,8,7,Cistus_crispus,8-7 Cistus_crispus,April,3,3,1,110,67,10,2021,41,0.9999973023722962,3,1,59,40,NA,8
Pinar Aznalcazar,8,8,Cistus_crispus,8-8 Cistus_crispus,April,6,4,0.6666666666666666,14,10,0,NA,NA,NA,2,NA,NA,5,NA,2
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,1,12,8,0,2021,2,0.9999982585562555,1,1,24,3,NA,1
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,March,5,5,1,12,8,0,2021,22,0.9999982585562555,1,1,24,3,NA,1
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,6,0.999997819686645,NA,1,7,NA,NA,NA
Pinar Aznalcazar,8,10,Cistus_salviifolius,8-10 Cistus_salviifolius,April,6,3,0.5,NA,NA,NA,2021,1,0.999997819686645,NA,1,7,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,19,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,11,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,8,10,Halimium_halimifolium,8-10 Halimium_halimifolium,May,20,14,0.7,NA,NA,NA,2021,1,0.999992169382691,NA,1,31,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,April,1,1,1,NA,NA,NA,2021,1,0.999997300293886,NA,1,5,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,April,1,1,1,NA,NA,NA,2021,4,0.999997300293886,NA,1,5,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,May,5,2,0.4,NA,NA,NA,2021,7,0.9999976274413086,NA,1,10,NA,NA,NA
Pinar Aznalcazar,9,2,Cistus_crispus,9-2 Cistus_crispus,May,5,2,0.4,NA,NA,NA,2021,3,0.9999976274413086,NA,1,10,NA,NA,NA
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,2,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,20,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,March,5,5,1,117,46,0,2021,35,0.9999973121107821,5,1,57,30,NA,9
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,2021,7,0.9999977379380307,1,1,9,5,NA,1
Pinar Aznalcazar,9,3,Cistus_salviifolius,9-3 Cistus_salviifolius,April,7,6,0.8571428571428571,25,20,5,2021,2,0.9999977379380307,1,1,9,5,NA,1
Pinar Aznalcazar,9,6,Cistus_crispus,9-6 Cistus_crispus,April,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,April,2,0,0,NA,NA,NA,2021,2,0.9999914063596662,NA,2,3,NA,NA,NA
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,34,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,12,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,6,Halimium_halimifolium,9-6 Halimium_halimifolium,May,20,9,0.45,1,0,2,2021,2,0.9999921661007484,1,1,48,1,1,1
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,April,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,9,7,Cistus_crispus,9-7 Cistus_crispus,May,7,6,0.8571428571428571,30,9,0,NA,NA,NA,1,NA,NA,9,NA,1
Pinar Aznalcazar,9,8,Cistus_crispus,9-8 Cistus_crispus,April,4,3,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,3,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,6,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,19,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,April,44,24,0.5454545454545454,NA,NA,NA,2021,73,0.9999736357737915,NA,1,101,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,137,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,58,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,48,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,23,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,2,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,8,Halimium_halimifolium,10-8 Halimium_halimifolium,May,40,16,0.4,NA,NA,NA,2021,3,0.9999839729926361,NA,1,271,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,April,4,2,0.5,NA,NA,NA,2021,4,0.999992480490502,NA,1,4,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,52,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,14,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,9,Halimium_halimifolium,10-9 Halimium_halimifolium,May,20,9,0.45,NA,NA,NA,2021,2,0.9999916142969006,NA,1,68,NA,NA,NA
Pinar Aznalcazar,10,10,Cistus_salviifolius,10-10 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,7,0.9999978232584296,NA,1,13,NA,NA,NA
