Bosque,X,Y,Planta,Subplot_Plant_Label,Periodo,labelled_flowers,number_fruits,fruitset,Visits_tot,homo_motif,hete_motif,Year,Flores,prob_consp_step,poll_richness,plant_richness,total_number_flowers,total_steps,unloyal_steps,total_sequences
Pinar Aznalcazar,10,10,Cistus_salviifolius,10-10 Cistus_salviifolius,April,6,6,1,NA,NA,NA,2021,6,0.9999978232584296,NA,1,13,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,8,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,1,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,2,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,5,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,3,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,March,26,16,0.6153846153846154,NA,NA,NA,2021,6,0.6799999932308718,NA,1,33,NA,NA,NA
Pinar Hinojos,1,1,Halimium_calycinum,1-1 Halimium_calycinum,April,4,2,0.5,NA,NA,NA,2021,1,0.9999999974359363,NA,1,4,NA,NA,NA
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,March,19,6,0.3157894736842105,40,0,0,2021,5,0.679999997743591,3,1,22,5,NA,3
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,March,19,6,0.3157894736842105,40,0,0,2021,12,0.679999997743591,3,1,22,5,NA,3
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,April,4,1,0.25,NA,NA,NA,2021,3,0.9999999948718726,NA,1,4,NA,NA,NA
Pinar Hinojos,2,1,Halimium_calycinum,2-1 Halimium_calycinum,April,4,1,0.25,NA,NA,NA,2021,1,0.9999999948718726,NA,1,4,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,March,4,2,0.5,NA,NA,NA,2021,3,0.679999997743624,NA,1,5,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,March,4,2,0.5,NA,NA,NA,2021,1,0.679999997743624,NA,1,5,NA,NA,NA
Pinar Hinojos,3,6,Halimium_calycinum,3-6 Halimium_calycinum,April,1,0,0,NA,NA,NA,2021,1,0.8181818323476965,NA,1,1,NA,NA,NA
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,32,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,9,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,52,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,March,29,12,0.41379310344827586,5,2,0,2021,74,0.8399999954872479,1,1,167,4,NA,1
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,April,13,6,0.46153846153846156,5,2,0,2021,27,0.9999999948718726,NA,1,35,NA,NA,NA
Pinar Hinojos,4,5,Halimium_calycinum,4-5 Halimium_calycinum,April,13,6,0.46153846153846156,5,2,0,2021,8,0.9999999948718726,NA,1,35,NA,NA,NA
Pinar Hinojos,4,8,Cistus_libanotis,4-8 Cistus_libanotis,April,13,7,0.5384615384615384,7,7,0,2021,1,0.9999999887181197,2,2,15,2,NA,2
Pinar Hinojos,4,8,Cistus_libanotis,4-8 Cistus_libanotis,April,13,7,0.5384615384615384,7,7,0,2021,11,0.9999999887181197,2,2,15,2,NA,2
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,March,12,10,0.8333333333333334,63,15,0,2021,3,0.5200138718703667,3,1,12,12,NA,4
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,March,12,10,0.8333333333333334,63,15,0,2021,2,0.5200138718703667,3,1,12,12,NA,4
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,March,12,10,0.8333333333333334,63,15,0,2021,4,0.5200138718703667,3,1,12,12,NA,4
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,April,3,2,0.6666666666666666,1,2,0,2021,2,0.8194153032285113,NA,1,6,NA,NA,NA
Pinar Hinojos,5,4,Halimium_calycinum,5-4 Halimium_calycinum,April,3,2,0.6666666666666666,1,2,0,2021,4,0.8194153032285113,NA,1,6,NA,NA,NA
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,2021,9,0.6800015590896742,2,1,78,12,NA,3
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,2021,6,0.6800015590896742,2,1,78,12,NA,3
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,2021,28,0.6800015590896742,2,1,78,12,NA,3
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,March,28,18,0.6428571428571429,48,9,3,2021,35,0.6800015590896742,2,1,78,12,NA,3
Pinar Hinojos,8,1,Halimium_calycinum,8-1 Halimium_calycinum,April,8,7,0.875,NA,NA,NA,2021,22,0.9999999974359363,NA,1,22,NA,NA,NA
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,March,28,19,0.6785714285714286,102,16,3,NA,NA,NA,4,2,431,22,1,7
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,April,9,6,0.6666666666666666,2,2,0,2021,13,0.9999999948718726,NA,1,15,NA,NA,NA
Pinar Hinojos,8,4,Halimium_calycinum,8-4 Halimium_calycinum,April,9,6,0.6666666666666666,2,2,0,2021,2,0.9999999948718726,NA,1,15,NA,NA,NA
Pinar Hinojos,10,7,Cistus_libanotis,10-7 Cistus_libanotis,April,54,27,0.5,248,11,5,2021,7,0.9999999887181197,4,3,54,52,1,7
Pinar Hinojos,10,7,Cistus_libanotis,10-7 Cistus_libanotis,April,54,27,0.5,248,11,5,2021,43,0.9999999887181197,4,3,54,52,1,7
Pinar Hinojos,NA,NA,NA,NA-NA NA,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Pinar Puebla,1,2,Cistus_salviifolius,1-2 Cistus_salviifolius,April,7,2,0.2857142857142857,NA,NA,NA,2021,7,0.9998799530039583,NA,3,57,NA,NA,NA
Pinar Puebla,1,7,Cistus_salviifolius,1-7 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.999881717757912,NA,2,18,NA,NA,NA
Pinar Puebla,2,4,Cistus_salviifolius,2-4 Cistus_salviifolius,March,5,4,0.8,NA,NA,NA,2021,2,0.9489658110815214,NA,1,13,NA,NA,NA
Pinar Puebla,2,4,Cistus_salviifolius,2-4 Cistus_salviifolius,March,5,4,0.8,NA,NA,NA,2021,8,0.9489658110815214,NA,1,13,NA,NA,NA
Pinar Puebla,2,4,Cistus_salviifolius,2-4 Cistus_salviifolius,March,5,4,0.8,NA,NA,NA,2021,3,0.9489658110815214,NA,1,13,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,March,5,3,0.6,NA,NA,NA,2021,4,0.8976113452049259,NA,3,25,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,March,5,3,0.6,NA,NA,NA,2021,3,0.8976113452049259,NA,3,25,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,March,5,3,0.6,NA,NA,NA,2021,7,0.8976113452049259,NA,3,25,NA,NA,NA
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,April,5,4,0.8,8,0,0,2021,3,0.9997657899629441,1,2,6,1,NA,1
Pinar Puebla,2,10,Cistus_salviifolius,2-10 Cistus_salviifolius,April,5,4,0.8,8,0,0,2021,2,0.9997657899629441,1,2,6,1,NA,1
Pinar Puebla,3,4,Cistus_salviifolius,3-4 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.9997735067737452,NA,3,37,NA,NA,NA
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,15,12,0.8,18,6,0,2021,5,0.9483594399781201,1,1,29,6,NA,1
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,15,12,0.8,18,6,0,2021,18,0.9483594399781201,1,1,29,6,NA,1
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,March,15,12,0.8,18,6,0,2021,6,0.9483594399781201,1,1,29,6,NA,1
Pinar Puebla,3,6,Cistus_salviifolius,3-6 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.999880804688487,NA,2,6,NA,NA,NA
Pinar Puebla,3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,March,10,8,0.8,NA,NA,NA,2021,3,0.9837230237360978,NA,3,154,NA,NA,NA
Pinar Puebla,3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,March,10,8,0.8,NA,NA,NA,2021,5,0.9837230237360978,NA,3,154,NA,NA,NA
Pinar Puebla,3,10,Cistus_salviifolius,3-10 Cistus_salviifolius,March,10,8,0.8,NA,NA,NA,2021,9,0.9837230237360978,NA,3,154,NA,NA,NA
Pinar Puebla,4,2,Cistus_salviifolius,4-2 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.9641293361099758,NA,4,32,NA,NA,NA
Pinar Puebla,4,6,Cistus_salviifolius,4-6 Cistus_salviifolius,April,4,2,0.5,NA,NA,NA,2021,4,0.9991032546865775,NA,3,29,NA,NA,NA
Pinar Puebla,5,1,Cistus_salviifolius,5-1 Cistus_salviifolius,April,2,2,1,NA,NA,NA,2021,2,0.9983888894984222,NA,3,11,NA,NA,NA
Pinar Puebla,5,7,Cistus_salviifolius,5-7 Cistus_salviifolius,April,2,2,1,NA,NA,NA,2021,2,0.9998819932535004,NA,2,15,NA,NA,NA
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,2021,6,0.964365088565882,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,2021,10,0.964365088565882,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,2021,15,0.964365088565882,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,2021,22,0.964365088565882,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,March,20,19,0.95,148,55,0,2021,3,0.964365088565882,7,1,56,22,NA,11
Pinar Puebla,6,1,Cistus_salviifolius,6-1 Cistus_salviifolius,April,2,2,1,NA,NA,NA,2021,1,0.9998738353289285,NA,2,6,NA,NA,NA
Pinar Puebla,6,2,Cistus_salviifolius,6-2 Cistus_salviifolius,March,15,12,0.8,115,46,8,2021,8,0.9473652538203945,7,1,26,21,1,11
Pinar Puebla,6,2,Cistus_salviifolius,6-2 Cistus_salviifolius,March,15,12,0.8,115,46,8,2021,14,0.9473652538203945,7,1,26,21,1,11
Pinar Puebla,6,2,Cistus_salviifolius,6-2 Cistus_salviifolius,March,15,12,0.8,115,46,8,2021,4,0.9473652538203945,7,1,26,21,1,11
Pinar Puebla,7,1,Cistus_salviifolius,7-1 Cistus_salviifolius,March,5,5,1,71,34,0,2021,10,0.9999404718630643,4,2,290,18,NA,6
Pinar Puebla,7,1,Cistus_salviifolius,7-1 Cistus_salviifolius,March,5,5,1,71,34,0,2021,20,0.9999404718630643,4,2,290,18,NA,6
Pinar Puebla,7,7,Cistus_salviifolius,7-7 Cistus_salviifolius,March,15,14,0.9333333333333333,4,0,4,2021,8,0.9490612213355333,1,1,35,NA,NA,NA
Pinar Puebla,7,7,Cistus_salviifolius,7-7 Cistus_salviifolius,March,15,14,0.9333333333333333,4,0,4,2021,27,0.9490612213355333,1,1,35,NA,NA,NA
Pinar Puebla,8,6,Cistus_crispus,8-6 Cistus_crispus,April,2,2,1,21,24,3,NA,NA,NA,1,2,29,7,NA,3
Pinar Puebla,8,6,Cistus_crispus,8-6 Cistus_crispus,May,3,1,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,8,7,Cistus_crispus,8-7 Cistus_crispus,April,1,1,1,12,24,3,NA,NA,NA,1,2,24,2,NA,1
Pinar Puebla,8,7,Cistus_crispus,8-7 Cistus_crispus,May,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,March,5,4,0.8,14,10,0,2021,2,0.9429732553903499,1,2,18,4,NA,2
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,March,5,4,0.8,14,10,0,2021,9,0.9429732553903499,1,2,18,4,NA,2
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,March,5,4,0.8,14,10,0,2021,4,0.9429732553903499,1,2,18,4,NA,2
Pinar Puebla,9,2,Cistus_salviifolius,9-2 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.9998815671067885,NA,1,1,NA,NA,NA
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,March,15,15,1,35,20,10,2021,7,0.9492885423773344,3,1,27,5,NA,2
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,March,15,15,1,35,20,10,2021,9,0.9492885423773344,3,1,27,5,NA,2
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,March,15,15,1,35,20,10,2021,11,0.9492885423773344,3,1,27,5,NA,2
Pinar Puebla,9,4,Cistus_salviifolius,9-4 Cistus_salviifolius,April,1,0,0,NA,NA,NA,2021,1,0.9998815684657757,NA,1,1,NA,NA,NA
Pinar Puebla,9,6,Cistus_crispus,9-6 Cistus_crispus,April,4,3,0.75,6,15,0,NA,NA,NA,1,1,8,2,NA,2
Pinar Puebla,9,6,Cistus_crispus,9-6 Cistus_crispus,May,4,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,April,2,2,1,9,9,3,2021,1,0.9982439199604002,1,3,23,3,1,1
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,April,2,2,1,9,9,3,2021,13,0.9982439199604002,1,3,23,3,1,1
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,May,4,1,0.25,NA,NA,NA,2021,10,0.9982439199604002,NA,1,16,NA,NA,NA
Pinar Puebla,9,7,Cistus_crispus,9-7 Cistus_crispus,May,4,1,0.25,NA,NA,NA,2021,6,0.9982439199604002,NA,1,16,NA,NA,NA
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,2021,8,0.9546533254778723,2,1,62,14,NA,4
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,2021,12,0.9546533254778723,2,1,62,14,NA,4
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,2021,18,0.9546533254778723,2,1,62,14,NA,4
Pinar Puebla,9,10,Cistus_salviifolius,9-10 Cistus_salviifolius,March,15,14,0.9333333333333333,76,4,3,2021,24,0.9546533254778723,2,1,62,14,NA,4
Pinar Puebla,10,6,Cistus_crispus,10-6 Cistus_crispus,May,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinar Puebla,10,7,Cistus_crispus,10-7 Cistus_crispus,April,4,4,1,21,18,3,NA,NA,NA,2,2,15,6,NA,2
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,9,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,12,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,13,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,3,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,8,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,2,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,1,Cistus_salviifolius,1-1 Cistus_salviifolius,April,5,5,1,25,5,0,2021,1,0.9984556007546358,1,1,49,4,NA,1
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,April,5,3,0.6,16,36,0,2021,9,0.9982814689836316,2,2,17,4,NA,3
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0,71,78,0,2021,1,0.9966830335581005,5,1,21,19,NA,6
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0,71,78,0,2021,10,0.9966830335581005,5,1,21,19,NA,6
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0,71,78,0,2021,2,0.9966830335581005,5,1,21,19,NA,6
Pinar Villamanrique Este (Chaparral),1,2,Cistus_crispus,1-2 Cistus_crispus,May,5,0,0,71,78,0,2021,8,0.9966830335581005,5,1,21,19,NA,6
Pinar Villamanrique Este (Chaparral),1,3,Cistus_crispus,1-3 Cistus_crispus,May,10,8,0.8,342,188,4,2021,1,0.9981192702775203,9,1,40,98,NA,16
Pinar Villamanrique Este (Chaparral),1,3,Cistus_crispus,1-3 Cistus_crispus,May,10,8,0.8,342,188,4,2021,24,0.9981192702775203,9,1,40,98,NA,16
Pinar Villamanrique Este (Chaparral),1,3,Cistus_crispus,1-3 Cistus_crispus,May,10,8,0.8,342,188,4,2021,14,0.9981192702775203,9,1,40,98,NA,16
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,April,5,4,0.8,20,28,4,2021,7,0.9989389136032355,2,1,7,5,NA,2
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,May,10,10,1,332,160,4,2021,9,0.9973720090824775,9,1,17,95,NA,15
Pinar Villamanrique Este (Chaparral),1,4,Cistus_crispus,1-4 Cistus_crispus,May,10,10,1,332,160,4,2021,8,0.9973720090824775,9,1,17,95,NA,15
Pinar Villamanrique Este (Chaparral),1,7,Cistus_crispus,1-7 Cistus_crispus,May,11,9,0.8181818181818182,85,59,0,2021,9,0.9981480153271973,2,1,26,22,NA,3
Pinar Villamanrique Este (Chaparral),1,7,Cistus_crispus,1-7 Cistus_crispus,May,11,9,0.8181818181818182,85,59,0,2021,16,0.9981480153271973,2,1,26,22,NA,3
Pinar Villamanrique Este (Chaparral),1,7,Cistus_crispus,1-7 Cistus_crispus,May,11,9,0.8181818181818182,85,59,0,2021,1,0.9981480153271973,2,1,26,22,NA,3
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,20,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,6,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,23,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,5,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,4,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,8,Cistus_salviifolius,1-8 Cistus_salviifolius,April,15,14,0.9333333333333333,10,15,5,2021,8,0.9986767334550166,3,1,66,1,NA,1
Pinar Villamanrique Este (Chaparral),1,10,Cistus_salviifolius,1-10 Cistus_salviifolius,April,5,5,1,NA,NA,NA,2021,5,0.9940390932226831,NA,1,5,NA,NA,NA
Pinar Villamanrique Este (Chaparral),2,1,Cistus_salviifolius,2-1 Cistus_salviifolius,April,5,4,0.8,2,1,0,2021,33,0.9991491112539177,1,1,36,2,NA,1
Pinar Villamanrique Este (Chaparral),2,1,Cistus_salviifolius,2-1 Cistus_salviifolius,April,5,4,0.8,2,1,0,2021,1,0.9991491112539177,1,1,36,2,NA,1
Pinar Villamanrique Este (Chaparral),2,3,Cistus_crispus,2-3 Cistus_crispus,May,10,9,0.9,264,177,4,2021,8,0.9975587980932228,7,1,28,75,NA,14
Pinar Villamanrique Este (Chaparral),2,3,Cistus_crispus,2-3 Cistus_crispus,May,10,9,0.9,264,177,4,2021,12,0.9975587980932228,7,1,28,75,NA,14
Pinar Villamanrique Este (Chaparral),2,3,Cistus_crispus,2-3 Cistus_crispus,May,10,9,0.9,264,177,4,2021,4,0.9975587980932228,7,1,28,75,NA,14
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,April,5,1,0.2,20,24,0,2021,4,0.9989277698298118,1,1,4,5,NA,2
Pinar Villamanrique Este (Chaparral),2,5,Cistus_crispus,2-5 Cistus_crispus,May,10,7,0.7,132,102,0,2021,9,0.973822135119795,5,2,27,34,NA,7
